x,y
57,89
67,77
72,69
75,66
77,63
79,60
82,56
85,51
88,46
91,39
93,34
95,28
96,24
97,19
97,15
98,10
98,5
98,1
97,-4
97,-8
97,-11
96,-13
96,-15
95,-17
94,-20
94,-23
93,-25
92,-27
91,-30
90,-35
88,-39
86,-42
85,-44
83,-47
81,-50
78,-54
75,-58
71,-61
68,-64
65,-67
60,-70
56,-73
51,-75
45,-78
36,-81
26,-83
18,-84
12,-84
6,-84
0,-83
-7,-82
-13,-81
-16,-80
-20,-78
-24,-77
-28,-76
-33,-73
-38,-71
-43,-68
-49,-65
-55,-61
-59,-57
-64,-53
-68,-48
-70,-44
-71,-42
-73,-39
-75,-36
-77,-32
-79,-29
-81,-26
-83,-22
-85,-18
-88,-14
-89,-10
-91,-7
-92,-3
-93,0
-94,4
-95,8
-96,11
-96,14
-97,18
-97,23
-97,27
-97,31
-97,36
-96,41
-95,45
-95,47
-95,48
-94,48
-94,50
-94,51
-94,51
-94,51
-94,52
-94,52
-94,52
-93,53
-93,55
-92,57
-91,59
-90,63
-87,67
-86,70
-85,72
-83,74
-81,78
-77,83
-75,86
-73,88
-71,90
-69,91
-67,93
-64,95
-62,97
-60,98
-58,100
-56,101
-54,102
-51,104
-48,105
-45,107
-42,107
-40,109
-36,110
-32,111
-29,111
-26,112
-23,112
-19,113
-15,113
-12,113
-9,113
-6,113
-4,113
-1,113
2,113
